date,IC,RankIC,LS
2021-12-31,-0.019705733823125956,-0.15711462450592886,-0.013090441759099724
2022-01-31,-0.41243271772203016,-0.10474308300395258,-0.06527102890884647
2022-02-28,-0.20565976469091826,-0.2845849802371542,-0.0291150320963379
2022-03-31,0.3729050122810952,0.4644268774703557,0.10703593950532882
2022-04-29,-0.22590608228431686,-0.2737154150197628,-0.021459763309676447
2022-05-31,0.48023828277905617,0.4772727272727273,0.059993630619796914
2022-06-30,-0.0343627225915779,0.030632411067193676,0.03657616387005237
2022-07-29,-0.4017457094591622,0.06126482213438735,-0.08331869965936488
2022-08-31,0.13471819652730793,0.1541501976284585,0.05507314504992751
2022-09-30,0.178178134485752,0.030632411067193676,0.060270584728283436
2022-10-31,0.30872183548719173,0.22529644268774704,0.07717214773669352
2022-11-30,0.4004057739125145,0.18774703557312253,0.06503047127301366
2022-12-30,0.19443492881594024,0.13339920948616601,0.1168589741613678
2023-01-31,0.7423315658202213,0.5820158102766798,0.16505010634810802
2023-02-28,-0.033867379525364505,0.1324110671936759,-0.03080080514684116
2023-03-31,0.3178765335281576,0.4140316205533597,0.08278855017127672
2023-04-28,0.4725105648544579,0.5128458498023716,0.41149129850124816
2023-05-31,0.07232197454030244,0.08399209486166008,0.04684420966322296
2023-06-30,0.3811026319194111,0.2717391304347826,0.07065800582977795
2023-07-31,-0.09071768507399307,0.046442687747035576,0.006462523271053945
2023-08-31,0.05891516940533853,0.0533596837944664,0.005838220390041363
2023-09-29,0.016294858643668315,0.04841897233201581,0.015360954496044492
2023-10-31,0.014760503731877138,0.12648221343873517,-0.0023065417467784287
2023-11-30,0.14745830859874529,-0.023715415019762844,-0.00802481700895444
2023-12-29,0.3743642825421174,0.1956521739130435,0.16372310232556914
2024-01-31,0.614393334759451,0.26383399209486164,0.17630368381527375
2024-02-29,0.2785895795771979,0.1966403162055336,0.0651067485648139
2024-03-28,0.015507967257173513,-0.15019762845849802,-0.02244741909047119
2024-04-30,-0.03850035960438998,-0.07806324110671936,0.039947341714186194
2024-05-31,0.028851869855499507,0.13537549407114624,-0.0038697874308949677
2024-06-28,-0.29858037264816706,-0.25691699604743085,-0.03603506693596125
2024-07-31,-0.12985304086034197,-0.21541501976284586,-0.041417141306938875
2024-08-30,-0.15426906819513939,-0.029644268774703556,-0.011374608501250449
2024-09-30,0.33484287034924376,0.41304347826086957,0.0690801061447071
2024-10-31,0.0806680149492508,-0.14723320158102768,-0.01575633532847844
2024-11-29,0.03335013962327181,-0.038537549407114624,0.05778126636864028
2024-12-31,-0.07644103657898911,0.016798418972332016,-0.03561462387036744
2025-01-31,-0.4072280890574499,-0.6146245059288538,-0.20254802173125686
2025-02-28,0.6968104492805444,0.7075098814229249,0.1255055343679623
2025-03-31,-0.10276566494728942,-0.17984189723320157,0.0030846377371632734
2025-04-30,-0.1592224950504206,-0.0533596837944664,0.004667797049059297
2025-05-30,-0.027168776583712112,0.003952569169960474,-0.02666882678465306
2025-06-30,-0.36562433173748776,-0.25889328063241107,-0.12172516516253218
2025-07-31,0.15628672206764416,0.05928853754940711,0.02040126114320413
2025-08-29,-0.2191184017640059,-0.22727272727272727,-0.14066115367632584
2025-09-30,-0.4962635383275195,-0.5187747035573123,-0.18886303650884254
2025-10-31,-0.11518189389860828,0.20652173913043478,-0.0589292217744722
2025-11-28,-0.109035046693925,-0.1422924901185771,0.027010700924457363
2025-12-31,-0.13371879107256643,-0.10177865612648221,-0.08013145597678516
2026-01-30,0.5677893413158075,0.1432806324110672,0.24022676786653357
2026-02-27,-0.03449730576392803,0.022727272727272728,-0.010417127977440448
2026-03-31,-0.15586131155558366,-0.15019762845849802,-0.12482198300298185
2026-04-30,0.025231394231752902,0.1373517786561265,0.023629428571207724
